wk-001	ok
wk-002	ok
wk-003	ok
wk-004	ok
wk-005	ok
wk-006	ok
wk-007	ok
wk-008	ok
wk-009	該当	語の対	「美術館の入園料」。館なので入館料であるべき（同じ内容の wk-057 は「美術館の入館料」になっている）
wk-010	ok
wk-011	ok
wk-012	ok
wk-013	ok
wk-014	該当	品物ごとの相場	「1個50円のなし」。なしは1個200〜400円台で、50円は果物の相場から外れている（おにぎり110円と釣り合っていない）
wk-015	ok
wk-016	ok
wk-017	ok
wk-018	ok
wk-019	ok
wk-020	該当	品物ごとの相場	「1個140円のもも」。ももは1個200〜500円台で、140円は相場から外れている
wk-021	ok
wk-022	ok
wk-023	ok
wk-024	ok
wk-025	ok
wk-026	ok
wk-027	ok
wk-028	ok
wk-029	ok
wk-030	ok
wk-031	ok
wk-032	ok
wk-033	ok
wk-034	ok
wk-035	ok
wk-036	ok
wk-037	ok
wk-038	ok
wk-039	ok
wk-040	ok
wk-041	ok
wk-042	ok
wk-043	ok
wk-044	ok
wk-045	ok
wk-046	ok
wk-047	ok
wk-048	ok
wk-049	ok
wk-050	ok
wk-051	ok
wk-052	ok
wk-053	ok
wk-054	該当	品物ごとの相場	「1個50円のなしと1個140円のもも」。なしは200〜400円台、ももは200〜500円台で、どちらも相場から外れている
wk-055	ok
wk-056	ok
wk-057	ok
wk-058	ok
wk-059	ok
wk-060	ok
wk-061	ok
wk-062	ok
wk-063	ok
wk-064	ok
wk-065	該当	数の大きさ	「空のプールに毎分8Lで27分で満水」。満水量が216Lしかなく、プールの大きさとしてありえない（浴槽以下）
wk-066	ok
wk-067	ok
wk-068	ok
wk-069	ok
wk-070	ok
wk-071	ok
wk-072	該当	場面ごとの相場	「植物園の入園料は大人130円、子ども90円」。入園料は数百円〜千円台で、買い物の相場の値になっている。大人と子どもの差も40円しかない
wk-073	ok
wk-074	ok
wk-075	ok
wk-076	ok
wk-077	ok
wk-078	ok
wk-079	ok
wk-080	ok
wk-081	ok
wk-082	ok
wk-083	該当	数の大きさ	「家から公園まで、歩いて時速4km・自転車で時速12km、合わせて4時間」。片道12km、歩きだけで3時間かかる公園は場面としてありえない
wk-084	ok
wk-085	該当	数の大きさ	「定価の9割引き」。9割引きは実際の値引きとしてありえない大きさ（1割の値段で売る店は無い）
wk-086	ok
wk-087	ok
wk-088	ok
wk-089	ok
wk-090	ok
wk-091	該当	2つの値の関係	「会費は大人1人2500円、中学生1人2000円」。差が500円しかなく、大人と中学生で区分を分ける意味が無い（実物は2倍前後）
wk-092	ok
wk-093	ok
wk-094	ok
wk-095	ok
wk-096	ok
wk-097	ok
wk-098	ok
wk-099	ok
wk-100	ok
wk-101	ok
wk-102	ok
wk-103	ok
wk-104	ok
wk-105	ok
wk-106	ok
wk-107	ok
wk-108	ok
wk-109	ok
wk-110	ok
wk-111	ok
wk-112	ok
wk-113	ok
wk-114	ok
wk-115	ok
wk-116	ok
wk-117	ok
wk-118	ok
wk-119	ok
wk-120	ok
wk-121	ok
wk-122	ok
wk-123	ok
wk-124	ok
wk-125	ok
wk-126	ok
wk-127	ok
wk-128	ok
wk-129	ok
wk-130	ok
wk-131	ok
wk-132	ok
wk-133	ok
wk-134	該当	語の対	「遊覧船の乗車券」。船なので乗船券であるべき（同じ内容の wk-013・wk-047・wk-061 は「遊覧船の乗船券」）。券なのに「おとな1人」と数えているのも対が合っていない
wk-135	ok
wk-136	ok
wk-137	ok
wk-138	ok
wk-139	ok
wk-140	ok
wk-141	ok
wk-142	ok
wk-143	ok
wk-144	ok
wk-145	ok
wk-146	ok
wk-147	ok
wk-148	ok
wk-149	ok
wk-150	ok
wk-151	該当	実在する値の集合	「1枚180円の切手と1枚290円の切手」。180円・290円という額面の切手は実在しない（額面は63・84・94・110・320円などの決まった集合）
wk-152	ok
wk-153	ok
wk-154	ok
wk-155	ok
