g3_l30.word_problem.Lv2#2	9
g3_l30.word_problem.Lv2#3	4
g3_l30.word_problem.Lv2#4	13
g1_l25.word_problem.Lv3#2	2
g1_l25.word_problem.Lv3#3	6
g1_l25.word_problem.Lv3#4	9
g2_l18.word_problem.Lv2#2	100, 100
g2_l18.word_problem.Lv2#3	300, 350
g2_l18.word_problem.Lv2#4	250, 125
g1_l26.word_problem.Lv2#2	14
g1_l26.word_problem.Lv2#3	7
g1_l26.word_problem.Lv2#4	14
g1_l26.word_problem.Lv3#2	61
g1_l26.word_problem.Lv3#3	81
g1_l26.word_problem.Lv3#4	100
g2_l17.word_problem.Lv4#2	130, 70
g2_l17.word_problem.Lv4#3	150, 50
g2_l17.word_problem.Lv4#4	200, 120
g1_l27.word_problem.Lv3#2	9
g1_l27.word_problem.Lv3#3	5
g1_l27.word_problem.Lv3#4	4
g2_l30.word_problem.Lv4#2	25
g2_l30.word_problem.Lv4#3	38
g2_l30.word_problem.Lv4#4	20
exam_l6.word_problem.Lv4#2	4:25 ／ 2/5
exam_l6.word_problem.Lv4#3	16:121 ／ 4/11
exam_l6.word_problem.Lv4#4	25:196 ／ 5/14
g3_l29.word_problem.Lv2#2	17, 19
g3_l29.word_problem.Lv2#3	28, 30
g3_l29.word_problem.Lv2#4	12, 13
g2_l16.word_problem.Lv3#2	3, 5
g2_l16.word_problem.Lv3#3	6, 9
g2_l16.word_problem.Lv3#4	9, 11
g1_l24.word_problem.Lv3#2	80
g1_l24.word_problem.Lv3#3	20
g1_l24.word_problem.Lv3#4	84
